ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0x35	0x290f1136c5fd21a8	-0x1287f1b06ef4a373	0	57	57	1	1	1
0x59	0x2bb81b52b53c643a	-0x128b7c6f5dd1696a	20	579	616	6	1	1
0x102	-0x24220fd5b91dcb5b	-0x128d966cb72135a4	0	153	465	1	0	0
0xc4	-0x75f16a05eb4468f7	-0x128ed458a4d39940	0	61	235	1	0	0
0xf9	-0x11d89abccced712f	-0x128f25ec3554266d	0	238	529	1	0	0
0xef	0x725bde98bf25bf7f	-0x128fcdb454361175	0	54	292	1	0	0
0x56	-0x515290b4157600b1	-0x129444032a0857b6	0	113	114	2	1	1
0x27	-0x7092335bbc2fe249	-0x129731b1668d601b	186	120	327	8	1	0
0x4e	-0x4d6713f5b4e83c3e	-0x12a0a77aebe16d1e	134	117	251	2	0	0
0x5b	0x3b62c9fb58ca7ca4	-0x12a14fd18e9ea300	0	138	144	1	0	0
0xef	-0x700a84045869a938	-0x12a7c3aa64130bf1	0	292	530	1	0	0
0x5a	-0x2b31a2a63fc6a8d4	-0x12aa049d5c2a310c	4	92	98	4	0	0
0x5b	0xa4382af9c378e03	-0x12b4258b75d6b876	0	136	142	1	1	1
0x4e	-0x432a702431cc5653	-0x12ba093a946700ed	0	327	327	1	0	0
0xf3	-0x67e4bbc6e593ec29	-0x12ba345dbd46bd90	0	107	394	1	1	1
0x49	0x35cd0a640a3f90d2	-0x12bb5ee992455f23	0	176	176	1	1	1
0x56	-0x8a65f5d5e9dce3c	-0x12bbd5f68653714a	84	71	156	2	1	1
0xfb	0x5d9a41d89f5a6f9d	-0x12bcaedc86201202	0	73	342	1	0	0
0xc5	-0x46cd5bec6755c693	-0x12c190e3d3971b53	0	81	629	1	0	0
0x4d	0x169a8210e00cc014	-0x12c26fd5bc27f5af	0	104	104	1	0	0
0x1c	-0x3a1d94b13f865f7e	-0x12cb03c844461235	0	251	251	2	0	0
0x53	-0x7cb2f6254ba2eb65	-0x12ccdd7c43f2459f	54	103	157	5	0	0
